Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
0,Spoofing the User External Entity,Spoofing,Diagram 1,HTTPS,High,Not Started,,User may be spoofed by an attacker and this may lead to unauthorized access to KubeArmor-Relay Service. Consider using a standard authentication mechanism to identify the external entity.,,Generated
1,Potential Data Repudiation by KubeArmor-Relay Service,Repudiation,Diagram 1,HTTPS,High,Not Started,,"KubeArmor-Relay Service claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
2,Potential Process Crash or Stop for KubeArmor-Relay Service,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"KubeArmor-Relay Service crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
3,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
4,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,KubeArmor-Relay Service may be able to impersonate the context of User in order to gain additional privilege.,,Generated
5,KubeArmor-Relay Service May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,User may be able to remotely execute code for KubeArmor-Relay Service.,,Generated
6,Elevation by Changing the Execution Flow in KubeArmor-Relay Service,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,An attacker may pass data into KubeArmor-Relay Service in order to change the flow of program execution within KubeArmor-Relay Service to the attacker's choosing.,,Generated
7,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
8,Spoofing the karmor-cli External Entity,Spoofing,Diagram 1,HTTPS,High,Not Started,,karmor-cli may be spoofed by an attacker and this may lead to unauthorized access to KubeArmor-Relay Service. Consider using a standard authentication mechanism to identify the external entity.,,Generated
9,Potential Data Repudiation by KubeArmor-Relay Service,Repudiation,Diagram 1,HTTPS,High,Not Started,,"KubeArmor-Relay Service claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
10,Potential Process Crash or Stop for KubeArmor-Relay Service,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"KubeArmor-Relay Service crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
11,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
12,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,KubeArmor-Relay Service may be able to impersonate the context of karmor-cli in order to gain additional privilege.,,Generated
13,KubeArmor-Relay Service May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,karmor-cli may be able to remotely execute code for KubeArmor-Relay Service.,,Generated
14,Elevation by Changing the Execution Flow in KubeArmor-Relay Service,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,An attacker may pass data into KubeArmor-Relay Service in order to change the flow of program execution within KubeArmor-Relay Service to the attacker's choosing.,,Generated
